YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,10,12892,1289208,32575,LAX,"Los Angeles, CA",CA,12478,1247805,31703,JFK,"New York, NY",NY,New York,2258,2254.0,-4.0,0.0,729,647.0,-42.0,331.0,293.0,275.0,2475.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1002,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,755,755.0,0.0,0.0,1608,1542.0,-26.0,313.0,287.0,267.0,2402.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1015,12892,1289208,32575,LAX,"Los Angeles, CA",CA,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,800,757.0,-3.0,0.0,916,904.0,-12.0,76.0,67.0,41.0,236.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1021,12892,1289208,32575,LAX,"Los Angeles, CA",CA,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,500,804.0,184.0,184.0,1110,1358.0,168.0,250.0,234.0,206.0,1744.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1140,12892,1289208,32575,LAX,"Los Angeles, CA",CA,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,2349,2339.0,-10.0,0.0,551,542.0,-9.0,242.0,243.0,201.0,1744.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1143,12892,1289208,32575,LAX,"Los Angeles, CA",CA,13303,1330303,32467,MIA,"Miami, FL",FL,Florida,49,46.0,-3.0,0.0,845,843.0,-2.0,296.0,297.0,267.0,2342.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,118,12892,1289208,32575,LAX,"Los Angeles, CA",CA,12478,1247805,31703,JFK,"New York, NY",NY,New York,657,648.0,-9.0,0.0,1529,1446.0,-43.0,332.0,298.0,274.0,2475.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1185,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14771,1477104,32457,SFO,"San Francisco, CA",CA,California,1212,1208.0,-4.0,0.0,1336,1328.0,-8.0,84.0,80.0,56.0,337.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1240,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11278,1127805,30852,DCA,"Washington, DC",VA,Virginia,758,754.0,-4.0,0.0,1557,1536.0,-21.0,299.0,282.0,262.0,2311.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1305,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1340,1340.0,0.0,0.0,1845,1835.0,-10.0,185.0,175.0,157.0,1235.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1383,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14683,1468305,33214,SAT,"San Antonio, TX",TX,Texas,956,953.0,-3.0,0.0,1446,1441.0,-5.0,170.0,168.0,151.0,1211.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,140,12892,1289208,32575,LAX,"Los Angeles, CA",CA,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,931,931.0,0.0,0.0,1648,1642.0,-6.0,257.0,251.0,229.0,1947.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1409,12892,1289208,32575,LAX,"Los Angeles, CA",CA,10693,1069302,30693,BNA,"Nashville, TN",TN,Tennessee,926,924.0,-2.0,0.0,1524,1515.0,-9.0,238.0,231.0,207.0,1797.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,143,12892,1289208,32575,LAX,"Los Angeles, CA",CA,12173,1217305,32134,HNL,"Honolulu, HI",HI,Hawaii,1420,1420.0,0.0,0.0,1713,1641.0,-32.0,353.0,321.0,304.0,2556.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1437,12892,1289208,32575,LAX,"Los Angeles, CA",CA,12339,1233904,32337,IND,"Indianapolis, IN",IN,Indiana,1012,1009.0,-3.0,0.0,1720,1704.0,-16.0,248.0,235.0,215.0,1814.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1499,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,559,557.0,-2.0,0.0,1340,1340.0,0.0,281.0,283.0,247.0,2125.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1504,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1645,1659.0,14.0,14.0,2150,2202.0,12.0,185.0,183.0,154.0,1235.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1518,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,1238,1251.0,13.0,13.0,1407,1415.0,8.0,89.0,84.0,61.0,370.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1540,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1450,1459.0,9.0,9.0,1957,2002.0,5.0,187.0,183.0,156.0,1235.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1571,12892,1289208,32575,LAX,"Los Angeles, CA",CA,13303,1330303,32467,MIA,"Miami, FL",FL,Florida,1207,1206.0,-1.0,0.0,2004,1957.0,-7.0,297.0,291.0,270.0,2342.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1585,12892,1289208,32575,LAX,"Los Angeles, CA",CA,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,1327,1320.0,-7.0,0.0,1942,1935.0,-7.0,255.0,255.0,219.0,1744.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1590,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,915,916.0,1.0,1.0,1703,1649.0,-14.0,288.0,273.0,245.0,2125.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1594,12892,1289208,32575,LAX,"Los Angeles, CA",CA,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,1135,1133.0,-2.0,0.0,1749,1735.0,-14.0,254.0,242.0,206.0,1744.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1612,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,933,927.0,-6.0,0.0,1743,1713.0,-30.0,310.0,286.0,266.0,2402.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1618,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,2255,2256.0,1.0,1.0,637,620.0,-17.0,282.0,264.0,244.0,2125.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1621,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,2359,2359.0,0.0,0.0,739,736.0,-3.0,280.0,277.0,243.0,2125.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1623,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14771,1477104,32457,SFO,"San Francisco, CA",CA,California,735,734.0,-1.0,0.0,901,850.0,-11.0,86.0,76.0,54.0,337.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1632,12892,1289208,32575,LAX,"Los Angeles, CA",CA,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,811,800.0,-11.0,0.0,1643,1606.0,-37.0,332.0,306.0,284.0,2611.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1653,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1220,1214.0,-6.0,0.0,1726,1728.0,2.0,186.0,194.0,163.0,1235.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1660,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1040,1037.0,-3.0,0.0,1549,1547.0,-2.0,189.0,190.0,163.0,1235.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1668,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,950,950.0,0.0,0.0,1119,1104.0,-15.0,89.0,74.0,56.0,370.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1669,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1900,1852.0,-8.0,0.0,7,2341.0,-26.0,187.0,169.0,152.0,1235.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1675,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,1945,1934.0,-11.0,0.0,2113,2106.0,-7.0,88.0,92.0,58.0,370.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1695,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11278,1127805,30852,DCA,"Washington, DC",VA,Virginia,1315,1307.0,-8.0,0.0,2114,2046.0,-28.0,299.0,279.0,257.0,2311.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1717,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,50,43.0,-7.0,0.0,900,820.0,-40.0,310.0,277.0,260.0,2402.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1725,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,900,853.0,-7.0,0.0,1412,1357.0,-15.0,192.0,184.0,158.0,1235.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1728,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14771,1477104,32457,SFO,"San Francisco, CA",CA,California,1757,1745.0,-12.0,0.0,1924,1903.0,-21.0,87.0,78.0,58.0,337.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1815,12892,1289208,32575,LAX,"Los Angeles, CA",CA,13303,1330303,32467,MIA,"Miami, FL",FL,Florida,811,808.0,-3.0,0.0,1612,1557.0,-15.0,301.0,289.0,267.0,2342.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1953,12892,1289208,32575,LAX,"Los Angeles, CA",CA,10423,1042302,30423,AUS,"Austin, TX",TX,Texas,1653,1646.0,-7.0,0.0,2149,2144.0,-5.0,176.0,178.0,156.0,1242.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,1966,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,1406,1359.0,-7.0,0.0,2145,2126.0,-19.0,279.0,267.0,244.0,2125.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,2,12892,1289208,32575,LAX,"Los Angeles, CA",CA,12478,1247805,31703,JFK,"New York, NY",NY,New York,745,806.0,21.0,21.0,1616,1609.0,-7.0,331.0,303.0,285.0,2475.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,2004,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,2255,2318.0,23.0,23.0,707,726.0,19.0,312.0,308.0,266.0,2402.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,2017,12892,1289208,32575,LAX,"Los Angeles, CA",CA,10423,1042302,30423,AUS,"Austin, TX",TX,Texas,1904,1915.0,11.0,11.0,2359,13.0,14.0,175.0,178.0,155.0,1242.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,205,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14771,1477104,32457,SFO,"San Francisco, CA",CA,California,2040,2036.0,-4.0,0.0,2200,2202.0,2.0,80.0,86.0,61.0,337.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,2091,12892,1289208,32575,LAX,"Los Angeles, CA",CA,13204,1320402,31454,MCO,"Orlando, FL",FL,Florida,2255,2254.0,-1.0,0.0,639,632.0,-7.0,284.0,278.0,255.0,2218.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,210,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11540,1154005,30615,ELP,"El Paso, TX",TX,Texas,1950,1938.0,-12.0,0.0,2247,2229.0,-18.0,117.0,111.0,89.0,715.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,2110,12892,1289208,32575,LAX,"Los Angeles, CA",CA,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,1123,1119.0,-4.0,0.0,1951,1921.0,-30.0,328.0,302.0,282.0,2611.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,2129,12892,1289208,32575,LAX,"Los Angeles, CA",CA,13303,1330303,32467,MIA,"Miami, FL",FL,Florida,550,549.0,-1.0,0.0,1348,1342.0,-6.0,298.0,293.0,268.0,2342.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,2201,12892,1289208,32575,LAX,"Los Angeles, CA",CA,12478,1247805,31703,JFK,"New York, NY",NY,New York,1600,1602.0,2.0,2.0,30,2357.0,-33.0,330.0,295.0,274.0,2475.0
2024,4,11,1,5,11/1/2024 12:00:00 AM,AA,19805,AA,2235,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,615,610.0,-5.0,0.0,1426,1407.0,-19.0,311.0,297.0,269.0,2402.0
